利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,09:04:34,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,09:05:06,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:05:50,水曜日,,,学生,教育学部,,4,入館ゲート1,許可
2016/06/01,09:06:02,水曜日,,,学生,文学部,,2,入館ゲート1,許可
2016/06/01,09:08:48,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,09:09:39,水曜日,,,学生,理学部,,2,入館ゲート1,許可
2016/06/01,09:10:00,水曜日,,,学生,文学部,,1,入館ゲート1,許可
2016/06/01,09:10:55,水曜日,,,大学院生,教育学部,,D3,入館ゲート1,許可
2016/06/01,09:11:22,水曜日,,,学生,文学部,,4,入館ゲート2,許可
2016/06/01,09:11:42,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:12:54,水曜日,,,学生,文学部,,4,入館ゲート2,許可
2016/06/01,09:13:06,水曜日,,,学生,教育学部,,3,入館ゲート2,許可
2016/06/01,09:13:53,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,09:14:00,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,09:14:13,水曜日,,,大学院生,情報科学,,D1,入館ゲート2,許可
2016/06/01,09:14:30,水曜日,,,学生,法学部,入館可,4,入館ゲート1,許可
2016/06/01,09:16:12,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,09:16:22,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,09:19:08,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,09:19:47,水曜日,,,大学院生,文学部,,M2,入館ゲート1,許可
2016/06/01,09:19:55,水曜日,,,学生,理学部,入館可,2,入館ゲート1,許可
2016/06/01,09:20:32,水曜日,,,大学院生,文学部,,M1,入館ゲート1,許可
2016/06/01,09:21:45,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,09:22:31,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,09:22:34,水曜日,,,学生,文学部,,,入館ゲート2,許可
2016/06/01,09:24:14,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,09:25:34,水曜日,,,学生,教育学部,入館可,4,入館ゲート2,許可
2016/06/01,09:26:28,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,09:27:48,水曜日,,,大学院生,情報科学,,D3,入館ゲート1,許可
2016/06/01,09:29:27,水曜日,,,学生,法学部,入館可,1,入館ゲート1,許可
2016/06/01,09:29:43,水曜日,,,学生,法学部,入館可,3,入館ゲート1,許可
2016/06/01,09:31:09,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,09:31:23,水曜日,,,学生,農学部,入館可,2,入館ゲート2,許可
2016/06/01,09:33:13,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,09:33:15,水曜日,,,大学院生,経済学部,,,入館ゲート2,許可
2016/06/01,09:33:16,水曜日,,,大学院生,経済学部,,M1,入館ゲート1,許可
2016/06/01,09:33:22,水曜日,,,学生,経済学部,,,入館ゲート2,許可
2016/06/01,09:34:05,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,09:34:56,水曜日,,,学生,薬学部,,2,入館ゲート1,許可
2016/06/01,09:36:24,水曜日,,,大学院生,文学部,,D3,入館ゲート1,許可
2016/06/01,09:36:47,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,09:37:30,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,09:37:42,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,09:38:21,水曜日,,,学生,経済学部,,2,入館ゲート2,許可
2016/06/01,09:41:22,水曜日,,,学生,文学部,入館可,3,入館ゲート2,許可
2016/06/01,09:41:24,水曜日,,,学生,文学部,,1,入館ゲート1,許可
2016/06/01,09:42:46,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,09:43:01,水曜日,,,学生,経済学部,,3,入館ゲート2,許可
2016/06/01,09:43:04,水曜日,,,学生,法学部,入館可,4,入館ゲート1,許可
2016/06/01,09:44:22,水曜日,,,大学院生,経済学部,,M2,入館ゲート1,許可
2016/06/01,09:44:41,水曜日,,,大学院生,国際文化,,M1,入館ゲート2,許可
2016/06/01,09:46:31,水曜日,,,学生,経済学部,,3,入館ゲート2,許可
2016/06/01,09:48:00,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:48:11,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,09:49:08,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,09:49:15,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,09:49:23,水曜日,,,学生,理学部,,1,入館ゲート2,許可
2016/06/01,09:50:36,水曜日,,,大学院生,生命科学,,M2,入館ゲート1,許可
2016/06/01,09:51:50,水曜日,,,学生,経済学部,入館可,2,入館ゲート2,許可
2016/06/01,09:52:36,水曜日,,,学生,理学部,入館可,2,入館ゲート1,許可
2016/06/01,09:53:16,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,09:53:51,水曜日,,,大学院生,理学部,,M2,入館ゲート2,許可
2016/06/01,09:54:39,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,09:56:05,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,09:56:08,水曜日,,,学生,法学部,入館可,4,入館ゲート1,許可
2016/06/01,09:56:37,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,09:56:39,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:57:51,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,09:57:52,水曜日,,,学生,教育学部,,3,入館ゲート2,許可
2016/06/01,09:58:14,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,09:58:42,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,09:59:23,水曜日,,,学生,経済学部,,,入館ゲート1,許可
2016/06/01,09:59:31,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,09:59:59,水曜日,,,大学院生,情報科学,,,入館ゲート1,許可
2016/06/01,10:01:16,水曜日,,,学生,法学部,入館可,4,入館ゲート1,許可
2016/06/01,10:01:18,水曜日,,,大学院生,文学部,,D3,入館ゲート2,許可
2016/06/01,10:01:31,水曜日,,,学生,経済学部,,1,入館ゲート1,許可
2016/06/01,10:01:37,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:01:42,水曜日,,,学生,文学部,入館可,4,入館ゲート2,許可
2016/06/01,10:01:45,水曜日,,,学生,法学部,,3,入館ゲート1,許可
2016/06/01,10:03:29,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:04:07,水曜日,,,学生,教育学部,,3,入館ゲート2,許可
2016/06/01,10:04:19,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:05:01,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:05:02,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:05:04,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:06:05,水曜日,,,学生,文学部,,1,入館ゲート1,許可
2016/06/01,10:07:09,水曜日,,,大学院生,文学部,,D1,入館ゲート1,許可
2016/06/01,10:07:14,水曜日,,,学生,薬学部,,3,入館ゲート1,許可
2016/06/01,10:07:31,水曜日,,,大学院生,経済学部,,M1,入館ゲート2,許可
2016/06/01,10:07:47,水曜日,,,学生,文学部,,4,入館ゲート1,許可
2016/06/01,10:08:13,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:08:15,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:08:17,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:08:18,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:10:36,水曜日,,,学生,理学部,,,入館ゲート1,許可
2016/06/01,10:11:04,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,10:11:07,水曜日,,,学生,文学部,,4,入館ゲート2,許可
2016/06/01,10:11:13,水曜日,,,学生,工学部,,,入館ゲート2,許可
2016/06/01,10:12:56,水曜日,,,学生,文学部,,,入館ゲート2,許可
2016/06/01,10:13:05,水曜日,,,学生,教育学部,入館可,4,入館ゲート1,許可
2016/06/01,10:13:13,水曜日,,,学生,理学部,,2,入館ゲート1,許可
2016/06/01,10:13:27,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:14:11,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,10:14:12,水曜日,,,学生,文学部,,2,入館ゲート1,許可
2016/06/01,10:14:16,水曜日,,,学生,経済学部,,4,入館ゲート1,許可
2016/06/01,10:14:57,水曜日,,,大学院生,文学部,,D3,入館ゲート2,許可
2016/06/01,10:15:09,水曜日,,,学生,文学部,入館可,4,入館ゲート1,許可
2016/06/01,10:15:11,水曜日,,,学生,経済学部,,1,入館ゲート2,許可
2016/06/01,10:15:14,水曜日,,,学生,薬学部,,2,入館ゲート1,許可
2016/06/01,10:15:22,水曜日,,,学生,薬学部,,2,入館ゲート2,許可
2016/06/01,10:15:42,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,10:16:19,水曜日,,,学生,文学部,,3,入館ゲート1,許可
2016/06/01,10:16:32,水曜日,,,学生,経済学部,入館可,2,入館ゲート2,許可
2016/06/01,10:17:27,水曜日,,,学生,理学部,,2,入館ゲート2,許可
2016/06/01,10:18:01,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,10:18:07,水曜日,,,学生,薬学部,,2,入館ゲート1,許可
2016/06/01,10:18:43,水曜日,,,学生,文学部,,,入館ゲート1,許可
2016/06/01,10:18:57,水曜日,,,学生,理学部,,2,入館ゲート1,許可
2016/06/01,10:18:59,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,10:19:47,水曜日,,,学生,文学部,,2,入館ゲート1,許可
2016/06/01,10:19:47,水曜日,,,学生,薬学部,,2,入館ゲート2,許可
2016/06/01,10:19:50,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:19:59,水曜日,,,学生,法学部,入館可,3,入館ゲート1,許可
2016/06/01,10:20:43,水曜日,,,学生,文学部,入館可,3,入館ゲート2,許可
2016/06/01,10:21:10,水曜日,,,学生,文学部,,3,入館ゲート2,許可
2016/06/01,10:21:28,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:21:30,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:21:44,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:21:47,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:22:01,水曜日,,,学生,法学部,入館可,4,入館ゲート1,許可
2016/06/01,10:22:13,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:22:46,水曜日,,,学生,理学部,,1,入館ゲート2,許可
2016/06/01,10:22:58,水曜日,,,学生,経済学部,,3,入館ゲート1,許可
2016/06/01,10:23:00,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:23:01,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:23:02,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:23:04,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:23:04,水曜日,,,学生,理学部,,1,入館ゲート2,許可
2016/06/01,10:23:08,水曜日,,,学生,薬学部,,2,入館ゲート1,許可
2016/06/01,10:23:08,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:23:11,水曜日,,,学生,経済学部,,1,入館ゲート1,許可
2016/06/01,10:23:19,水曜日,,,学生,文学部,入館可,2,入館ゲート1,許可
2016/06/01,10:23:19,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,10:23:26,水曜日,,,学生,文学部,,2,入館ゲート2,許可
2016/06/01,10:23:28,水曜日,,,学生,経済学部,,2,入館ゲート1,許可
2016/06/01,10:23:40,水曜日,,,学生,文学部,入館可,4,入館ゲート2,許可
2016/06/01,10:23:42,水曜日,,,学生,経済学部,,1,入館ゲート1,許可
